"Country Name","Year","DeathRate"
"Albania",1987,4.65953414578947
"Albania",1988,5.78605261368421
"Albania",1989,4.69510324947368
"Albania",1992,2.66161893
"Albania",1993,4.54822418736842
"Albania",1994,4.70858484105263
"Albania",1995,5.39701055157895
"Albania",1996,7.52813285736842
"Albania",1997,11.6975806731579
"Albania",1998,10.1534789531579
"Albania",1999,10.19667345
"Albania",2000,4.23817032789474
"Albania",2001,8.01643535368421
"Albania",2002,9.95132443052632
"Albania",2003,8.55106615947368
"Albania",2004,10.1252850294737
"Albania",2005,0
"Albania",2006,0
"Albania",2007,12.2125299794737
"Albania",2008,10.5832580973684
"Albania",2009,0
"Albania",2010,6.3971006831579
"Antigua and Barbuda",1961,0
"Antigua and Barbuda",1962,0
"Antigua and Barbuda",1963,0
"Antigua and Barbuda",1964,0
"Antigua and Barbuda",1966,0
"Antigua and Barbuda",1969,0
"Antigua and Barbuda",1970,5.27370530526316
"Antigua and Barbuda",1971,0
"Antigua and Barbuda",1972,0
"Antigua and Barbuda",1973,0
"Antigua and Barbuda",1974,0
"Antigua and Barbuda",1975,0
"Antigua and Barbuda",1976,0
"Antigua and Barbuda",1977,0
"Antigua and Barbuda",1978,0
"Antigua and Barbuda",1983,0
"Antigua and Barbuda",1985,0
"Antigua and Barbuda",1986,0
"Antigua and Barbuda",1987,0
"Antigua and Barbuda",1988,0
"Antigua and Barbuda",1989,0
"Antigua and Barbuda",1990,5.49390176842105
"Antigua and Barbuda",1991,0
"Antigua and Barbuda",1992,0
"Antigua and Barbuda",1993,1.81801654421053
"Antigua and Barbuda",1994,0
"Antigua and Barbuda",1995,0
"Antigua and Barbuda",1998,0
"Antigua and Barbuda",1999,0
"Antigua and Barbuda",2000,6.86813338421053
"Antigua and Barbuda",2001,3.46716593842105
"Antigua and Barbuda",2002,0
"Antigua and Barbuda",2003,8.67077083157895
"Antigua and Barbuda",2004,6.90767141052631
"Antigua and Barbuda",2005,0
"Antigua and Barbuda",2006,0
"Antigua and Barbuda",2007,2.02741059105263
"Antigua and Barbuda",2008,0
"Antigua and Barbuda",2009,0
"Antigua and Barbuda",2012,0
"Antigua and Barbuda",2013,0
"Antigua and Barbuda",2014,0
"Antigua and Barbuda",2015,2.73127031368421
"Antigua and Barbuda",2016,0
"Antigua and Barbuda",2017,0
"Antigua and Barbuda",2018,0
"Antigua and Barbuda",2019,0
"Antigua and Barbuda",2020,0
"Argentina",1966,22.0690037105263
"Argentina",1967,28.3016501931579
"Argentina",1968,29.3300677352632
"Argentina",1969,29.1854015510526
"Argentina",1970,29.8810844094737
"Argentina",1977,22.4014496442105
"Argentina",1978,23.0611411457895
"Argentina",1979,21.25744716
"Argentina",1980,19.4999325170588
"Argentina",1981,20.9602759035294
"Argentina",1982,22.0164404721053
"Argentina",1983,21.3480095873684
"Argentina",1984,22.1260868352632
"Argentina",1985,23.9161274131579
"Argentina",1986,27.7693987505263
"Argentina",1987,26.7061467768421
"Argentina",1988,26.03375217
"Argentina",1989,24.8473330873684
"Argentina",1990,24.2939156868421
"Argentina",1991,21.1058295610526
"Argentina",1992,22.3762881947368
"Argentina",1993,25.5023293973684
"Argentina",1994,21.3662957489474
"Argentina",1995,21.2632755626316
"Argentina",1996,20.7014694584211
"Argentina",1997,19.2251427805263
"Argentina",1998,20.4439291163158
"Argentina",1999,20.5095740784211
