"Continent","Age Group","Year","Sex","Rate"
"Africa","20-39 years",1996,"Female",968.180464790038
"Africa","20-39 years",1996,"Male",3033.47729862048
"Africa","20-39 years",1997,"Female",962.70800589167
"Africa","20-39 years",1997,"Male",3088.14186827059
"Africa","20-39 years",1998,"Female",961.061230336201
"Africa","20-39 years",1998,"Male",3164.75769093816
"Africa","20-39 years",1999,"Female",963.721080581725
"Africa","20-39 years",1999,"Male",3207.7878697046
"Africa","20-39 years",2000,"Female",970.553708175896
"Africa","20-39 years",2000,"Male",3248.40487522492
"Africa","20-39 years",2001,"Female",959.682762305205
"Africa","20-39 years",2001,"Male",3258.53023408554
"Africa","20-39 years",2002,"Female",962.654912074875
"Africa","20-39 years",2002,"Male",3287.2173778599
"Africa","20-39 years",2003,"Female",959.956108123823
"Africa","20-39 years",2003,"Male",3287.46868027338
"Africa","20-39 years",2004,"Female",946.560940133458
"Africa","20-39 years",2004,"Male",3286.48742456546
"Africa","20-39 years",2005,"Female",922.118340445082
"Africa","20-39 years",2005,"Male",3245.70129153268
"Africa","20-39 years",2006,"Female",897.396449784281
"Africa","20-39 years",2006,"Male",3215.40202075428
"Africa","20-39 years",2007,"Female",879.133855645607
"Africa","20-39 years",2007,"Male",3193.04121255607
"Africa","20-39 years",2008,"Female",861.44409937515
"Africa","20-39 years",2008,"Male",3166.76463288555
"Africa","20-39 years",2009,"Female",848.652613586508
"Africa","20-39 years",2009,"Male",3152.08971995139
"Africa","20-39 years",2010,"Female",833.11393717213
"Africa","20-39 years",2010,"Male",3132.60836056141
"Africa","20-39 years",2011,"Female",804.871924905014
"Africa","20-39 years",2011,"Male",3103.75834612482
"Africa","20-39 years",2012,"Female",789.786713207143
"Africa","20-39 years",2012,"Male",3065.27501511548
"Africa","20-39 years",2013,"Female",777.023110702673
"Africa","20-39 years",2013,"Male",3041.33737131933
"Africa","20-39 years",2014,"Female",777.038991221656
"Africa","20-39 years",2014,"Male",3057.18376294542
"Africa","20-39 years",2015,"Female",765.364000720814
"Africa","20-39 years",2015,"Male",3039.91165700251
"Africa","20-39 years",2016,"Female",748.815130519506
"Africa","20-39 years",2016,"Male",3023.72090993943
"Africa","20-39 years",2017,"Female",737.715135838499
"Africa","20-39 years",2017,"Male",3020.10931712771
"Africa","20-39 years",2018,"Female",730.322872339762
"Africa","20-39 years",2018,"Male",3020.46888147174
"Africa","20-39 years",2019,"Female",718.682225080992
"Africa","20-39 years",2019,"Male",2997.15905207638
"Africa","40-59 years",1990,"Female",1963.61916044049
"Africa","40-59 years",1990,"Male",6219.86578934189
"Africa","40-59 years",1991,"Female",1946.15644261212
"Africa","40-59 years",1991,"Male",6248.68565167002
"Africa","40-59 years",1992,"Female",1941.95882512949
"Africa","40-59 years",1992,"Male",6306.98222450677
"Africa","40-59 years",1993,"Female",1919.7519094618
"Africa","40-59 years",1993,"Male",6364.08919559828
"Africa","40-59 years",1994,"Female",1912.1403766632
"Africa","40-59 years",1994,"Male",6464.48214372873
"Africa","40-59 years",1995,"Female",1905.98104935661
"Africa","40-59 years",1995,"Male",6628.50781122485
"Africa","40-59 years",1996,"Female",1886.31668015226
"Africa","40-59 years",1996,"Male",6721.65511281395
"Africa","40-59 years",1997,"Female",1875.67268363398
"Africa","40-59 years",1997,"Male",6796.51503025225
"Africa","40-59 years",1998,"Female",1881.9276109606
"Africa","40-59 years",1998,"Male",6878.80168884715
"Africa","40-59 years",1999,"Female",1877.96446932628
"Africa","40-59 years",1999,"Male",6875.76254396274
"Africa","40-59 years",2000,"Female",1874.55698017891
"Africa","40-59 years",2000,"Male",6881.70057831808
"Africa","40-59 years",2001,"Female",1852.30321647536
"Africa","40-59 years",2001,"Male",6862.93930403392
"Africa","40-59 years",2002,"Female",1844.40371925074
"Africa","40-59 years",2002,"Male",6863.18036593595
"Africa","40-59 years",2003,"Female",1841.82082356719
"Africa","40-59 years",2003,"Male",6854.24918182403
"Africa","40-59 years",2004,"Female",1829.16329897307
"Africa","40-59 years",2004,"Male",6852.67690080057
"Africa","40-59 years",2005,"Female",1799.54895012857
"Africa","40-59 years",2005,"Male",6793.78653638799
"Africa","40-59 years",2006,"Female",1764.28789750356
"Africa","40-59 years",2006,"Male",6710.5578928773
"Africa","40-59 years",2007,"Female",1744.10068134651
"Africa","40-59 years",2007,"Male",6632.67143877903
"Africa","40-59 years",2008,"Female",1725.33929829399
"Africa","40-59 years",2008,"Male",6551.91446617896
"Africa","40-59 years",2009,"Female",1713.30378289324
"Africa","40-59 years",2009,"Male",6500.26814089292
"Africa","40-59 years",2010,"Female",1696.69983850829
"Africa","40-59 years",2010,"Male",6433.79135000733
"Africa","40-59 years",2011,"Female",1665.14510474628
"Africa","40-59 years",2011,"Male",6342.04244030631
"Africa","40-59 years",2012,"Female",1651.09308633149
"Africa","40-59 years",2012,"Male",6273.55841757186
"Africa","40-59 years",2013,"Female",1633.21668982747
"Africa","40-59 years",2013,"Male",6201.39203180166
"Africa","40-59 years",2014,"Female",1627.00256483437
"Africa","40-59 years",2014,"Male",6147.62206359551
"Africa","40-59 years",2015,"Female",1603.49236410181
"Africa","40-59 years",2015,"Male",6064.43806888494
"Africa","40-59 years",2016,"Female",1585.55432695531
"Africa","40-59 years",2016,"Male",5989.48629853188
"Africa","40-59 years",2017,"Female",1563.24499026498
"Africa","40-59 years",2017,"Male",5912.27942147937
"Africa","40-59 years",2018,"Female",1537.56175077143
"Africa","40-59 years",2018,"Male",5838.26348604272
"Africa","40-59 years",2019,"Female",1514.74248855792
"Africa","40-59 years",2019,"Male",5757.0757524599
"Africa","60-79 years",1990,"Female",917.51186488318
"Africa","60-79 years",1990,"Male",2692.65123209119
"Africa","60-79 years",1991,"Female",914.523519234359
"Africa","60-79 years",1991,"Male",2706.59094745446
"Africa","60-79 years",1992,"Female",914.649840069187
"Africa","60-79 years",1992,"Male",2732.29251658152
"Africa","60-79 years",1993,"Female",912.169157688715
"Africa","60-79 years",1993,"Male",2757.48163136899
"Africa","60-79 years",1994,"Female",911.346729306242
"Africa","60-79 years",1994,"Male",2788.20974379076
"Africa","60-79 years",1995,"Female",915.733619089612
"Africa","60-79 years",1995,"Male",2839.26164668153
"Africa","60-79 years",1996,"Female",914.015183487499
"Africa","60-79 years",1996,"Male",2867.10589010228
"Africa","60-79 years",1997,"Female",914.304410861099
"Africa","60-79 years",1997,"Male",2892.8558104522
"Africa","60-79 years",1998,"Female",922.215729033889
"Africa","60-79 years",1998,"Male",2915.42925044696
"Africa","60-79 years",1999,"Female",923.777116044617
"Africa","60-79 years",1999,"Male",2908.592202788
"Africa","60-79 years",2000,"Female",923.234981896458
"Africa","60-79 years",2000,"Male",2896.48830546968
"Africa","60-79 years",2001,"Female",917.134333733223
"Africa","60-79 years",2001,"Male",2880.76760978333
"Africa","60-79 years",2002,"Female",917.240258595038
"Africa","60-79 years",2002,"Male",2872.70446224007
"Africa","60-79 years",2003,"Female",915.595129342292
"Africa","60-79 years",2003,"Male",2857.54662108383
"Africa","60-79 years",2004,"Female",911.786294333446
"Africa","60-79 years",2004,"Male",2850.10398473462
"Africa","60-79 years",2005,"Female",902.157498340979
"Africa","60-79 years",2005,"Male",2831.05643462441
"Africa","60-79 years",2006,"Female",889.747971903872
"Africa","60-79 years",2006,"Male",2803.80043609497
"Africa","60-79 years",2007,"Female",879.045021909802
"Africa","60-79 years",2007,"Male",2771.0863204512
"Africa","60-79 years",2008,"Female",870.646853463102
"Africa","60-79 years",2008,"Male",2746.32190055755
"Africa","60-79 years",2009,"Female",865.993819647518
"Africa","60-79 years",2009,"Male",2729.65157891201
"Africa","60-79 years",2010,"Female",860.648556726969
"Africa","60-79 years",2010,"Male",2711.18124183943
"Africa","60-79 years",2011,"Female",848.942422797317
"Africa","60-79 years",2011,"Male",2679.91378224716
"Africa","60-79 years",2012,"Female",841.606903914305
"Africa","60-79 years",2012,"Male",2650.19835484155
"Africa","60-79 years",2013,"Female",832.305838330189
"Africa","60-79 years",2013,"Male",2619.02589189189
"Africa","60-79 years",2014,"Female",825.709787638352
"Africa","60-79 years",2014,"Male",2586.98229327368
"Africa","60-79 years",2015,"Female",817.452331432884
"Africa","60-79 years",2015,"Male",2556.57609084697
"Africa","60-79 years",2016,"Female",811.733076183117
"Africa","60-79 years",2016,"Male",2530.05183572506
"Africa","60-79 years",2017,"Female",805.16870066505
"Africa","60-79 years",2017,"Male",2503.58634430078
"Africa","60-79 years",2018,"Female",796.548406040206
"Africa","60-79 years",2018,"Male",2476.49226005183
"Africa","60-79 years",2019,"Female",787.451611701615
"Africa","60-79 years",2019,"Male",2443.81629219904
"Africa","80+ years",1990,"Female",1308.54815762877
"Africa","80+ years",1990,"Male",4622.30524666415
"Africa","80+ years",1991,"Female",1305.57798124
"Africa","80+ years",1991,"Male",4673.71773306647
"Africa","80+ years",1992,"Female",1312.60313299482
"Africa","80+ years",1992,"Male",4727.65367592392
"Africa","80+ years",1993,"Female",1315.45674177663
"Africa","80+ years",1993,"Male",4782.66680014419
"Africa","80+ years",1994,"Female",1320.25521786657
"Africa","80+ years",1994,"Male",4842.13816643181
"Africa","80+ years",1995,"Female",1331.45692444429
"Africa","80+ years",1995,"Male",4920.64889658049
"Africa","80+ years",1996,"Female",1339.3248660861
"Africa","80+ years",1996,"Male",4980.97646360793
"Africa","80+ years",1997,"Female",1351.92366429785
"Africa","80+ years",1997,"Male",5051.35661498036
"Africa","80+ years",1998,"Female",1373.37424747138
"Africa","80+ years",1998,"Male",5109.78597985332
"Africa","80+ years",1999,"Female",1385.89685144227
"Africa","80+ years",1999,"Male",5131.89975765806
"Africa","80+ years",2000,"Female",1405.76548011686
"Africa","80+ years",2000,"Male",5169.16090312615
"Africa","80+ years",2001,"Female",1401.15177139145
"Africa","80+ years",2001,"Male",5142.02686420742
"Africa","80+ years",2002,"Female",1418.01126969073
"Africa","80+ years",2002,"Male",5185.29786536623
"Africa","80+ years",2003,"Female",1419.29038226416
"Africa","80+ years",2003,"Male",5168.33334636165
"Africa","80+ years",2004,"Female",1418.14370826735
"Africa","80+ years",2004,"Male",5169.98422938227
"Africa","80+ years",2005,"Female",1413.23338908194
"Africa","80+ years",2005,"Male",5165.30138352544
"Africa","80+ years",2006,"Female",1412.30099952794
"Africa","80+ years",2006,"Male",5176.14702573251
"Africa","80+ years",2007,"Female",1398.15079233849
"Africa","80+ years",2007,"Male",5128.11886116312
"Africa","80+ years",2008,"Female",1401.59195581956
"Africa","80+ years",2008,"Male",5152.7850748321
"Africa","80+ years",2009,"Female",1400.04263321159
"Africa","80+ years",2009,"Male",5154.94380915389
"Africa","80+ years",2010,"Female",1400.70871290135
"Africa","80+ years",2010,"Male",5153.09537299456
"Africa","80+ years",2011,"Female",1393.46755765813
"Africa","80+ years",2011,"Male",5126.1401252739
"Africa","80+ years",2012,"Female",1386.27180525522
"Africa","80+ years",2012,"Male",5084.49813918494
"Africa","80+ years",2013,"Female",1378.06801306045
"Africa","80+ years",2013,"Male",5042.35169962109
"Africa","80+ years",2014,"Female",1364.77966014593
"Africa","80+ years",2014,"Male",4954.9734771862
"Africa","80+ years",2015,"Female",1365.67380364445
"Africa","80+ years",2015,"Male",4938.16379557581
"Africa","80+ years",2016,"Female",1354.14968177163
"Africa","80+ years",2016,"Male",4878.64943272244
"Africa","80+ years",2017,"Female",1350.97882152796
"Africa","80+ years",2017,"Male",4856.48421956023
"Africa","80+ years",2018,"Female",1351.61200783166
"Africa","80+ years",2018,"Male",4833.06983597226
"Africa","80+ years",2019,"Female",1349.79297478501
"Africa","80+ years",2019,"Male",4779.53353297698
"Asia","0-19 years",1990,"Female",157.058484370077
"Asia","0-19 years",1990,"Male",234.395821819759
"Asia","0-19 years",1991,"Female",154.678951656399
"Asia","0-19 years",1991,"Male",233.357005611433
"Asia","0-19 years",1992,"Female",155.545567858181
"Asia","0-19 years",1992,"Male",237.73196639163
"Asia","0-19 years",1993,"Female",154.762651221524
"Asia","0-19 years",1993,"Male",239.688528171764
"Asia","0-19 years",1994,"Female",151.848877635914
"Asia","0-19 years",1994,"Male",241.98561589343
"Asia","0-19 years",1995,"Female",148.804951594484
"Asia","0-19 years",1995,"Male",244.271406895759
"Asia","0-19 years",1996,"Female",145.989026115785
"Asia","0-19 years",1996,"Male",245.12052266401
"Asia","0-19 years",1997,"Female",143.222822888575
"Asia","0-19 years",1997,"Male",243.759868895673
"Asia","0-19 years",1998,"Female",138.212081967328
"Asia","0-19 years",1998,"Male",236.028302450302
"Asia","0-19 years",1999,"Female",135.925614425032
"Asia","0-19 years",1999,"Male",232.256167947058
"Asia","0-19 years",2000,"Female",133.330910895568
"Asia","0-19 years",2000,"Male",231.447913140077
"Asia","0-19 years",2001,"Female",126.06572860592
"Asia","0-19 years",2001,"Male",224.595930377532
"Asia","0-19 years",2002,"Female",122.334141729552
"Asia","0-19 years",2002,"Male",217.930457200575
"Asia","0-19 years",2003,"Female",121.314607746387
"Asia","0-19 years",2003,"Male",213.250668916497
"Asia","0-19 years",2004,"Female",118.061089347553
"Asia","0-19 years",2004,"Male",208.467037010508
"Asia","0-19 years",2005,"Female",118.637303084488
"Asia","0-19 years",2005,"Male",210.361502367299
"Asia","0-19 years",2006,"Female",114.89106450196
"Asia","0-19 years",2006,"Male",207.489267906849
"Asia","0-19 years",2007,"Female",112.055355366723
"Asia","0-19 years",2007,"Male",206.194106662897
"Asia","0-19 years",2008,"Female",110.38804002738
"Asia","0-19 years",2008,"Male",205.123609125162
"Asia","0-19 years",2009,"Female",110.844399817011
"Asia","0-19 years",2009,"Male",198.366308326346
"Asia","0-19 years",2010,"Female",110.769680865511
"Asia","0-19 years",2010,"Male",194.45019548276
"Asia","0-19 years",2011,"Female",110.264939311672
"Asia","0-19 years",2011,"Male",194.016850317704
"Asia","0-19 years",2012,"Female",107.923203203887
"Asia","0-19 years",2012,"Male",193.697181161238
"Asia","0-19 years",2013,"Female",106.115409759215
"Asia","0-19 years",2013,"Male",192.452234189935
"Asia","0-19 years",2014,"Female",104.913487924847
"Asia","0-19 years",2014,"Male",193.650322285711
"Asia","0-19 years",2015,"Female",103.686278190993
"Asia","0-19 years",2015,"Male",189.849826786397
"Asia","0-19 years",2016,"Female",99.3812424729113
"Asia","0-19 years",2016,"Male",182.688605237315
"Asia","0-19 years",2017,"Female",95.5714749484046
"Asia","0-19 years",2017,"Male",177.441169348158
"Asia","0-19 years",2018,"Female",92.9961487887618
"Asia","0-19 years",2018,"Male",173.382901415184
"Asia","0-19 years",2019,"Female",89.3823367836277
"Asia","0-19 years",2019,"Male",167.247585871256
"Asia","20-39 years",1990,"Female",1225.95784322084
"Asia","20-39 years",1990,"Male",2908.50008009965
"Asia","20-39 years",1991,"Female",1201.64110567572
"Asia","20-39 years",1991,"Male",2897.15105283923
"Asia","20-39 years",1992,"Female",1195.33702672501
"Asia","20-39 years",1992,"Male",2961.83567038242
"Asia","20-39 years",1993,"Female",1187.10662411945
"Asia","20-39 years",1993,"Male",3021.01552261313
"Asia","20-39 years",1994,"Female",1198.9661519381
"Asia","20-39 years",1994,"Male",3133.34348395333
"Asia","20-39 years",1995,"Female",1207.02857424357
"Asia","20-39 years",1995,"Male",3255.12974341946
"Asia","20-39 years",1996,"Female",1194.02000256845
"Asia","20-39 years",1996,"Male",3318.1504504263
"Asia","20-39 years",1997,"Female",1180.35912966222
"Asia","20-39 years",1997,"Male",3326.12237243876
"Asia","20-39 years",1998,"Female",1174.57368216353
"Asia","20-39 years",1998,"Male",3233.46773638428
"Asia","20-39 years",1999,"Female",1159.04764221819
"Asia","20-39 years",1999,"Male",3238.61290105453
"Asia","20-39 years",2000,"Female",1127.78199450167
"Asia","20-39 years",2000,"Male",3244.65247150597
"Asia","20-39 years",2001,"Female",1080.49274010235
"Asia","20-39 years",2001,"Male",3167.10769248437
"Asia","20-39 years",2002,"Female",1039.0988770082
"Asia","20-39 years",2002,"Male",3061.70275898493
"Asia","20-39 years",2003,"Female",999.858677721752
"Asia","20-39 years",2003,"Male",3000.69409123098
"Asia","20-39 years",2004,"Female",974.992277637988
"Asia","20-39 years",2004,"Male",2968.01169668266
"Asia","20-39 years",2005,"Female",959.636426608928
"Asia","20-39 years",2005,"Male",2968.87203484657
"Asia","20-39 years",2006,"Female",935.256963846315
"Asia","20-39 years",2006,"Male",2955.3245824848
"Asia","20-39 years",2007,"Female",898.401677594506
"Asia","20-39 years",2007,"Male",2900.53310345996
"Asia","20-39 years",2008,"Female",866.285002590087
"Asia","20-39 years",2008,"Male",2819.39194330391
"Asia","20-39 years",2009,"Female",842.639288837955
"Asia","20-39 years",2009,"Male",2703.53886632896
"Asia","20-39 years",2010,"Female",824.69831366971
"Asia","20-39 years",2010,"Male",2628.23838846929
"Asia","20-39 years",2011,"Female",810.871848311785
"Asia","20-39 years",2011,"Male",2592.67733288988
"Asia","20-39 years",2012,"Female",782.706581139671
"Asia","20-39 years",2012,"Male",2546.76017232217
"Asia","20-39 years",2013,"Female",757.905736913324
"Asia","20-39 years",2013,"Male",2489.59101475621
"Asia","20-39 years",2014,"Female",735.069751824906
"Asia","20-39 years",2014,"Male",2443.3360011303
"Asia","20-39 years",2015,"Female",723.277651230692
"Asia","20-39 years",2015,"Male",2411.41827269544
"Asia","20-39 years",2016,"Female",716.739422776557
"Asia","20-39 years",2016,"Male",2396.17682900963
"Asia","20-39 years",2017,"Female",706.295315928021
"Asia","20-39 years",2017,"Male",2387.2591979133
"Asia","20-39 years",2018,"Female",702.978564984308
"Asia","20-39 years",2018,"Male",2412.99791557222
"Asia","20-39 years",2019,"Female",696.203827255015
"Asia","20-39 years",2019,"Male",2418.83550019819
"Asia","40-59 years",1990,"Female",1147.36204537684
"Asia","40-59 years",1990,"Male",3259.02415223423
"Asia","40-59 years",1991,"Female",1125.25981457767
"Asia","40-59 years",1991,"Male",3234.56695222888
"Asia","40-59 years",1992,"Female",1113.79939994068
"Asia","40-59 years",1992,"Male",3249.36564170521
"Asia","40-59 years",1993,"Female",1106.42796655688
"Asia","40-59 years",1993,"Male",3324.24288013877
"Asia","40-59 years",1994,"Female",1102.65319186446
"Asia","40-59 years",1994,"Male",3428.95931846031
"Asia","40-59 years",1995,"Female",1095.77115248207
"Asia","40-59 years",1995,"Male",3535.16196611735
"Asia","40-59 years",1996,"Female",1070.24641213357
"Asia","40-59 years",1996,"Male",3542.99925152665
"Asia","40-59 years",1997,"Female",1047.06775336339
"Asia","40-59 years",1997,"Male",3528.35187661942
"Asia","40-59 years",1998,"Female",1019.03756037282
"Asia","40-59 years",1998,"Male",3486.98273719396
"Asia","40-59 years",1999,"Female",997.600415064348
"Asia","40-59 years",1999,"Male",3477.59330584463
"Asia","40-59 years",2000,"Female",970.197286508535
"Asia","40-59 years",2000,"Male",3471.73420151974
"Asia","40-59 years",2001,"Female",941.298488432438
"Asia","40-59 years",2001,"Male",3414.71815493582
"Asia","40-59 years",2002,"Female",926.418506911655
"Asia","40-59 years",2002,"Male",3389.3556265394
"Asia","40-59 years",2003,"Female",918.824455931147
"Asia","40-59 years",2003,"Male",3384.33663488441
"Asia","40-59 years",2004,"Female",910.632060355755
"Asia","40-59 years",2004,"Male",3339.85615245986
"Asia","40-59 years",2005,"Female",893.558997150825
"Asia","40-59 years",2005,"Male",3313.34892211999
"Asia","40-59 years",2006,"Female",873.132926139825
"Asia","40-59 years",2006,"Male",3240.45164777727
"Asia","40-59 years",2007,"Female",844.291274557659
"Asia","40-59 years",2007,"Male",3162.37648592584
"Asia","40-59 years",2008,"Female",813.234774971739
"Asia","40-59 years",2008,"Male",3049.82409468268
"Asia","40-59 years",2009,"Female",786.769200519868
"Asia","40-59 years",2009,"Male",2930.1936634539
"Asia","40-59 years",2010,"Female",769.040208354177
"Asia","40-59 years",2010,"Male",2867.78501640212
"Asia","40-59 years",2011,"Female",757.559285907968
"Asia","40-59 years",2011,"Male",2835.3304526364
"Asia","40-59 years",2012,"Female",743.278034010261
"Asia","40-59 years",2012,"Male",2787.08697290431
"Asia","40-59 years",2013,"Female",725.405305472267
"Asia","40-59 years",2013,"Male",2722.11043859528
"Asia","40-59 years",2014,"Female",714.380386555502
"Asia","40-59 years",2014,"Male",2677.55446857299
"Asia","40-59 years",2015,"Female",704.898473726571
"Asia","40-59 years",2015,"Male",2639.68173564352
"Asia","40-59 years",2016,"Female",693.17511593049
"Asia","40-59 years",2016,"Male",2604.85583607261
"Asia","40-59 years",2017,"Female",679.236618580757
"Asia","40-59 years",2017,"Male",2558.91214046594
"Asia","40-59 years",2018,"Female",669.935528411188
"Asia","40-59 years",2018,"Male",2529.92076807766
"Asia","40-59 years",2019,"Female",662.103489643243
"Asia","40-59 years",2019,"Male",2498.81815159697
"Asia","60-79 years",1990,"Female",377.92205106679
"Asia","60-79 years",1990,"Male",882.737120242576
"Asia","60-79 years",1991,"Female",372.043657908384
"Asia","60-79 years",1991,"Male",875.158300925956
"Asia","60-79 years",1992,"Female",369.600387285467
"Asia","60-79 years",1992,"Male",879.102766063862
"Asia","60-79 years",1993,"Female",367.104237622673
"Asia","60-79 years",1993,"Male",888.675787712789
"Asia","60-79 years",1994,"Female",361.166930118939
"Asia","60-79 years",1994,"Male",901.984822513092
"Asia","60-79 years",1995,"Female",353.84554177224
"Asia","60-79 years",1995,"Male",916.631521577426
"Asia","60-79 years",1996,"Female",345.468170609285
"Asia","60-79 years",1996,"Male",915.903654693021
"Asia","60-79 years",1997,"Female",339.392428631994
"Asia","60-79 years",1997,"Male",919.169382210534
"Asia","60-79 years",1998,"Female",331.861267061776
"Asia","60-79 years",1998,"Male",912.764100861796
"Asia","60-79 years",1999,"Female",325.604004449658
"Asia","60-79 years",1999,"Male",902.779622940603
"Asia","60-79 years",2000,"Female",315.275005102893
"Asia","60-79 years",2000,"Male",890.189007330672
"Asia","60-79 years",2001,"Female",304.262506831153
"Asia","60-79 years",2001,"Male",868.04490799184
"Asia","60-79 years",2002,"Female",301.416050259008
"Asia","60-79 years",2002,"Male",860.431999452112
"Asia","60-79 years",2003,"Female",305.040347114978
"Asia","60-79 years",2003,"Male",858.69268819114
"Asia","60-79 years",2004,"Female",306.077989675261
"Asia","60-79 years",2004,"Male",842.664328703297
"Asia","60-79 years",2005,"Female",302.332521584081
"Asia","60-79 years",2005,"Male",828.676151230965
"Asia","60-79 years",2006,"Female",298.356782441191
"Asia","60-79 years",2006,"Male",808.777512000268
"Asia","60-79 years",2007,"Female",290.83678257566
"Asia","60-79 years",2007,"Male",790.343669242106
"Asia","60-79 years",2008,"Female",281.422457719374
"Asia","60-79 years",2008,"Male",774.847655262685
"Asia","60-79 years",2009,"Female",272.201315324836
"Asia","60-79 years",2009,"Male",754.591793721668
"Asia","60-79 years",2010,"Female",265.078639768473
"Asia","60-79 years",2010,"Male",748.439767063775
"Asia","60-79 years",2011,"Female",259.45314446223
"Asia","60-79 years",2011,"Male",742.662403443645
"Asia","60-79 years",2012,"Female",252.278865233231
"Asia","60-79 years",2012,"Male",731.835682475842
"Asia","60-79 years",2013,"Female",242.894568135593
"Asia","60-79 years",2013,"Male",711.224733814984
"Asia","60-79 years",2014,"Female",234.255934184004
"Asia","60-79 years",2014,"Male",699.330251478838
"Asia","60-79 years",2015,"Female",229.393177220289
"Asia","60-79 years",2015,"Male",689.160914686553
"Asia","60-79 years",2016,"Female",225.678542935752
"Asia","60-79 years",2016,"Male",681.642413634478
"Asia","60-79 years",2017,"Female",221.687467996309
"Asia","60-79 years",2017,"Male",670.9469210927
"Asia","60-79 years",2018,"Female",219.184251480813
"Asia","60-79 years",2018,"Male",661.616821366184
"Asia","60-79 years",2019,"Female",218.1413630808
"Asia","60-79 years",2019,"Male",656.744437125382
"Asia","80+ years",1990,"Female",670.727087470486
"Asia","80+ years",1990,"Male",1438.1671572573
"Asia","80+ years",1991,"Female",666.37347194323
"Asia","80+ years",1991,"Male",1437.64342464895
"Asia","80+ years",1992,"Female",666.72022948568
"Asia","80+ years",1992,"Male",1441.68958710324
"Asia","80+ years",1993,"Female",664.604912987736
"Asia","80+ years",1993,"Male",1429.94150400325
"Asia","80+ years",1994,"Female",673.443666665547
